Date,Category,Product,Revenue,Quantity,Rating,Sales,Month
2026-01-05,Electronics,Laptop,65000,2,4.6,130000,1
2026-01-07,Furniture,Chair,12000,4,4.1,48000,1
2026-01-10,Electronics,Phone,30000,3,4.5,90000,1
2026-01-12,Clothing,Shirt,2500,10,3.9,25000,1
2026-01-15,Furniture,Table,18000,2,4.2,36000,1
2026-01-18,Clothing,Jeans,3500,7,4.0,24500,1
2026-01-21,Electronics,Headphones,5000,5,4.4,25000,1
2026-01-24,Furniture,Desk,22000,2,4.3,44000,1
2026-01-27,Clothing,Jacket,4500,4,4.1,18000,1
2026-02-02,Electronics,Tablet,28000,3,4.7,84000,2
2026-02-05,Electronics,Laptop,65000,2,4.6,130000,2
2026-02-09,Furniture,Chair,12000,5,4.2,60000,2
2026-02-12,Electronics,Phone,30000,4,4.5,120000,2
2026-02-15,Clothing,Shirt,2500,12,4.0,30000,2
2026-02-18,Furniture,Table,18000,3,4.3,54000,2
2026-02-21,Clothing,Jeans,3500,8,4.1,28000,2
2026-02-24,Electronics,Headphones,5000,6,4.5,30000,2
2026-02-27,Furniture,Desk,22000,3,4.4,66000,2
2026-03-03,Clothing,Jacket,4500,6,4.2,27000,3
2026-03-07,Electronics,Tablet,28000,4,4.7,112000,3
